"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 26 13:17:17 MSK 2023","Tue Sep 26 13:19:45 MSK 2023","147820","","tests.MasterDataTests","","tests.MasterDataTests","testAutomaticMDUpdateIfThereIsAnOutdatedMDVersion","Автоматическое обновление МД после запуска приложения при наличии устаревшей версии МД","При наличии новой версии МД или не скачанной на устройство после запуска приложения начинаетсяавтоматическая загрузка МД"
"passed","Tue Sep 26 13:09:40 MSK 2023","Tue Sep 26 13:11:42 MSK 2023","122202","","tests.AuthorizationTests","","tests.AuthorizationTests","testSavingAuthorizationWhenOpeningTheAppOffline","Сохранение авторизации при открытии приложения в офлайн режиме","Вводится вверный пин-код от staging. Происходит авторизация и обновление МД. Затем приложениезакрывается и отключается интернет. После повторного запуска приложения авторизация должна сохраниться"
"passed","Tue Sep 26 13:03:05 MSK 2023","Tue Sep 26 13:03:26 MSK 2023","20931","","tests.PinCodeTests","","tests.PinCodeTests","testBlockPinCodeEntry","Блокировка ввода пин-кода после 3 неверных попыток на 30 секунд","3 раза вводится неверный пин-код. После 3 попытки блокируется повторный ввод пин-кода на 30 секунд."
"passed","Tue Sep 26 13:03:53 MSK 2023","Tue Sep 26 13:05:41 MSK 2023","108416","","tests.AuthorizationTests","","tests.AuthorizationTests","testLogOutInOffline","Выход из аккаунта без подключения к интернету","Вводится вверный пин-код от staging. Происходит авторизация. Затем отключается интернет и происходитвыход из аккаунта. После перезапуска приложения открывается экран ввода пин-кода"
"passed","Tue Sep 26 13:07:47 MSK 2023","Tue Sep 26 13:09:40 MSK 2023","113105","","tests.AuthorizationTests","","tests.AuthorizationTests","testSavingAuthorizationWhenOpeningTheAppOnline","Сохранение авторизации при открытии приложения с включенным интернетом","Вводится вверный пин-код от staging. Происходит авторизация и обновление МД. Затем приложениеперезапускается. Авторизация должна сохраниться"
"passed","Tue Sep 26 13:19:45 MSK 2023","Tue Sep 26 13:20:38 MSK 2023","52488","","tests.MasterDataTests","","tests.MasterDataTests","testCancelMDUpdate","Отмена обновления мастер-данных","Вводится вверный пин-код от staging. Происходит авторизация и обновление МД. Обновление МД отменяется.В профиле отображается информация о том, что 'Не было обновлений' МД"
"passed","Tue Sep 26 13:03:26 MSK 2023","Tue Sep 26 13:03:40 MSK 2023","14940","","tests.PinCodeTests","","tests.PinCodeTests","testDeleteAPinNumber","Тестирование кнопки удаления (Backspace)","Вводится 3 цифры пин-кода, затем одна удаляется и вводится ещё 2. Появляется ошибка о неверном пин-коде."
"passed","Tue Sep 26 13:15:30 MSK 2023","Tue Sep 26 13:17:17 MSK 2023","107277","","tests.MasterDataTests","","tests.MasterDataTests","testSynchInFirstLaunch","Успешная синхронизация при первом запуске приложения","Вводится вверный пин-код от staging. Происходит авторизация и обновление МД. После открывается профиль агента. В нём отображается информация о последнем обновлении МД"
"passed","Tue Sep 26 13:02:41 MSK 2023","Tue Sep 26 13:03:04 MSK 2023","23466","","tests.PinCodeTests","","tests.PinCodeTests","testNoAuthorizationInOfflineMode","Отсутствие авторизации в офлайн режиме","Приложение запускается в офлайн режиме и вводится верный пин-код. Появляется ошибка о необходимости подключения к интернету для авторизации."
"passed","Tue Sep 26 13:20:38 MSK 2023","Tue Sep 26 13:21:28 MSK 2023","50792","","tests.MasterDataTests","","tests.MasterDataTests","testNotificationAboutOutdatedMD","Уведомление об устаревших мастер-данных","Открывается профиль и отключается интернет. На экране магазинов отображается банер об устаревшей версии МД"
"passed","Tue Sep 26 13:03:40 MSK 2023","Tue Sep 26 13:03:53 MSK 2023","12428","","tests.PinCodeTests","","tests.PinCodeTests","testNoAuthorizationByPinCode0000","Отсутствие авторизации по пин-коду 0000","Запускается приложение и вводится пин-код 0000. Появляется ошибка о неверном пин-коде."
"passed","Tue Sep 26 13:05:41 MSK 2023","Tue Sep 26 13:07:47 MSK 2023","125371","","tests.AuthorizationTests","","tests.AuthorizationTests","testLogOutAndReAuthorize","Выход из аккаунта и повторная авторизация","Вводится вверный пин-код от staging. Происходит авторизация. Затем выход из аккаунта и повторныйввод пин-кода от инстанса"
"passed","Tue Sep 26 13:14:28 MSK 2023","Tue Sep 26 13:15:30 MSK 2023","62304","","tests.MasterDataTests","","tests.MasterDataTests","testOffTheInternetDuringAnMDUpdate","Отключение интернета во время обновления МД","Вводится вверный пин-код от staging. Происходит авторизация и обновление МД. Отключается интернет.Через минуту офлайн режима появляется ошибка."
"passed","Tue Sep 26 13:13:32 MSK 2023","Tue Sep 26 13:14:28 MSK 2023","56213","","tests.MasterDataTests","","tests.MasterDataTests","testCanNotUpdateMDInOffline","Запрет на обновление мастер-данных без подключения к интернету","Открывается профиль и отключается интернет. Происходит нажатие на обновление МД. Появляется ошибка о том, что для обновления МД необходим интернет"
"passed","Tue Sep 26 13:11:42 MSK 2023","Tue Sep 26 13:13:32 MSK 2023","109463","","tests.AuthorizationTests","","tests.AuthorizationTests","testAuthorizationExistUserWithMDDownload","Авторизация существующего пользователя (с обновлением МД после авторизации)","Вводится вверный пин-код от staging. Происходит авторизация и обновление МД. После открывается профиль агента"
